"uri","rdf_type","name","species_name","code","website","CodeGO2","CodeTRUEL-VASSAL","CodeVIVC","Mere","NumAgrementOfficiel","Pere","synonyms"
"http://sinfonia.vignevin.com/id/germplasm/accession.camaralet_blanc_cl1023","vocabulary:Accession","CAMARALET BLANC Cl1023","Vitis vinifera subsp. vinifera","1023",NA,"208800051",NA,NA,NA,"1023",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.camaralet_blanc_cl1024","vocabulary:Accession","CAMARALET BLANC Cl1024","Vitis vinifera subsp. vinifera","1024",NA,"208800061",NA,NA,NA,"1024",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/variety.candin_b","vocabulary:Variety","CANDIN B","Vitis x interspécifique","6622","https://plantgrape.plantnet-project.org/fr/cepage/candin","1706","6622",NA,NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.candin_b_cl5004","vocabulary:Accession","CANDIN B Cl5004","Vitis x interspécifique","5004",NA,"170600011",NA,NA,NA,"5004",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/variety.canner_seedless_b","vocabulary:Variety","CANNER SEEDLESS B","Vitis vinifera subsp. vinifera","1833","https://plantgrape.plantnet-project.org/fr/cepage/canner%20seedless","756","1833",NA,NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.canner_seedless_b_cl975","vocabulary:Accession","CANNER SEEDLESS B Cl975","Vitis vinifera subsp. vinifera","975",NA,"75600641",NA,NA,NA,"975",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/variety.caralicante_n","vocabulary:Variety","CARALICANTE N","Vitis vinifera subsp. vinifera","548","https://plantgrape.plantnet-project.org/fr/cepage/caralicante","2696","548",NA,NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.caralicante_n_cl1244","vocabulary:Accession","CARALICANTE N Cl1244","Vitis vinifera subsp. vinifera","1244",NA,"269600011",NA,NA,NA,"1244",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/variety.carcajolo_blanc_b","vocabulary:Variety","CARCAJOLO BLANC B","Vitis vinifera subsp. vinifera","119",NA,"2097","119",NA,NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carcajolo_blanc_b_cl1283","vocabulary:Accession","CARCAJOLO BLANC B Cl1283","Vitis vinifera subsp. vinifera","1283",NA,"209700411",NA,NA,NA,"1283",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/variety.carcajolo_n","vocabulary:Variety","CARCAJOLO N","Vitis vinifera subsp. vinifera","1531","https://plantgrape.plantnet-project.org/fr/cepage/carcajolo","2063","1531",NA,NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carcajolo_n_cl1312","vocabulary:Accession","CARCAJOLO N Cl1312","Vitis vinifera subsp. vinifera","1312",NA,"206300581",NA,NA,NA,"1312",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carcajolo_n_cl1339","vocabulary:Accession","CARCAJOLO N Cl1339","Vitis vinifera subsp. vinifera","1339",NA,"206300601",NA,NA,NA,"1339",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.carcajolo_n_cl946","vocabulary:Accession","CARCAJOLO N Cl946","Vitis vinifera subsp. vinifera","946",NA,"206300491",NA,NA,NA,"946",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/variety.cardinal_rg","vocabulary:Variety","CARDINAL RG","Vitis vinifera subsp. vinifera","1095","https://plantgrape.plantnet-project.org/fr/cepage/cardinal","707","1095",NA,NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cardinal_rg_cl80","vocabulary:Accession","CARDINAL RG Cl80","Vitis vinifera subsp. vinifera","80",NA,"70700111",NA,NA,NA,"80",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cardinal_rg_cl81","vocabulary:Accession","CARDINAL RG Cl81","Vitis vinifera subsp. vinifera","81",NA,"70700051",NA,NA,NA,"81",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cardinal_rg_cl82","vocabulary:Accession","CARDINAL RG Cl82","Vitis vinifera subsp. vinifera","82",NA,"70700081",NA,NA,NA,"82",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cardinal_rg_cl83","vocabulary:Accession","CARDINAL RG Cl83","Vitis vinifera subsp. vinifera","83",NA,"70700121",NA,NA,NA,"83",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cardinal_rg_cl84","vocabulary:Accession","CARDINAL RG Cl84","Vitis vinifera subsp. vinifera","84",NA,"70700161",NA,NA,NA,"84",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.cardinal_rg_cl85","vocabulary:Accession","CARDINAL RG Cl85","Vitis vinifera subsp. vinifera","85",NA,"70700421",NA,NA,NA,"85",NA,NA
