"uri"	"rdf_type"	"rdf_type_name"	"name"	"species"	"species_name"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p245_f05"	"vocabulary:Variety"	"Variété"	"3563-P245-F05"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3564_p241_a01"	"vocabulary:Variety"	"Variété"	"3564-P241-A01"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3564_p241_b03"	"vocabulary:Variety"	"Variété"	"3564-P241-B03"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3564_p241_b06"	"vocabulary:Variety"	"Variété"	"3564-P241-B06"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3564_p241_c02"	"vocabulary:Variety"	"Variété"	"3564-P241-C02"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3564_p241_c04"	"vocabulary:Variety"	"Variété"	"3564-P241-C04"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3564_p241_c05"	"vocabulary:Variety"	"Variété"	"3564-P241-C05"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3564_p241_d03"	"vocabulary:Variety"	"Variété"	"3564-P241-D03"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3564_p241_d05"	"vocabulary:Variety"	"Variété"	"3564-P241-D05"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3565_p257_a05"	"vocabulary:Variety"	"Variété"	"3565-P257-A05"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3565_p257_a07"	"vocabulary:Variety"	"Variété"	"3565-P257-A07"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3565_p257_a08"	"vocabulary:Variety"	"Variété"	"3565-P257-A08"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3565_p257_a09"	"vocabulary:Variety"	"Variété"	"3565-P257-A09"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3565_p257_a10"	"vocabulary:Variety"	"Variété"	"3565-P257-A10"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3565_p257_b03"	"vocabulary:Variety"	"Variété"	"3565-P257-B03"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
