"uri","name","alternative_name","description","datatype","URIgroup","group"
"https://cropontology.org/term/CO_356:1000110","MORPHO_OIV_610","Mature leaf: angle between N3 and the tangent between petiole point and the tooth tip of N5","Mature leaf: angle between N3 and the tangent between petiole point and the tooth tip of N5","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000111","MORPHO_OIV_075","Mature leaf: blistering of upper side of blade","Mature leaf: blistering of upper side of blade","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000112","MORPHO_OIV_069","Mature leaf: color of the upper side of blade","Mature leaf: color of the upper side of blade","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000113","MORPHO_OIV_085","Mature leaf: density of erect hairs between the main veins on lower side of blade","Mature leaf: density of erect hairs between the main veins on lower side of blade","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000114","MORPHO_OIV_087","Mature leaf: density of erect hairs on main veins on lower side of blade","Mature leaf: density of erect hairs on main veins on lower side of blade","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000115","MORPHO_OIV_091","Mature leaf: density of erect hairs on petiole","Mature leaf: density of erect hairs on petiole","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000116","MORPHO_OIV_079","Mature leaf: degree of opening / overlapping of petiole sinus","Mature leaf: degree of opening / overlapping of petiole sinus","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000117","MORPHO_OIV_082","Mature leaf: degree of opening / overlapping of upper lateral sinus","Mature leaf: degree of opening / overlapping of upper lateral sinus","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000118","MORPHO_OIV_084","Mature leaf: density of prostrate hairs between the main veins on lower side of blade","Mature leaf: density of prostrate hairs between the main veins on lower side of blade","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000119","MORPHO_OIV_086","Mature leaf: density of prostrate hairs on main veins on lower side of blade","Mature leaf: density of prostrate hairs on main veins on lower side of blade","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000120","MORPHO_OIV_090","Mature leaf: density of prostrate hairs on petiole","Mature leaf: density of prostrate hairs on petiole","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000121","MORPHO_OIV_094","Mature leaf: depth of upper lateral sinuses","Mature leaf: depth of upper lateral sinuses","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000122","MORPHO_OIV_089","Mature leaf: erect hairs on main veins on upper side of blade","Mature leaf: erect hairs on main veins on upper side of blade","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000123","MORPHO_OIV_072","Mature leaf: goffering of blade","Mature leaf: goffering of blade","http://www.w3.org/2001/XMLSchema#string",NA,NA
